/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S11) Recalibrated depth and ages for previously published stable isotope data from DSDP Hole 86-577. doi:10.1594/PANGAEA.809200, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Cramer, Benjamin S; Wright, James D; Kent, Dennis V; Aubry, Marie-Pierre (2003): Orbital climate forcing of d13C excursions in the late Paleocene-early Eocene (chrons C24n-C25n). Paleoceanography, 18(4), 1097, doi:10.1029/2003PA000909
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.441800 * LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 74.6 m * MAXIMUM DEPTH, sediment/rock: 88.0 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Cramer et al. (2003), dataset doi:10.1594/PANGAEA.741861. DEPTH, sediment is the depth [mbsf] reported by Cramer et al. (2003). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Cramer, Benjamin S
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Cramer, Benjamin S
	Age, relative [ka] (Age rel) * PI: Cramer, Benjamin S * COMMENT: reported age relative to start of PETM reported by Cramer et al. (2003)
	Age model [ka] (Age model) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age, relative [ka] (Age rel) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age relative to start of PETM using information in this paper
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: Blue horizons are approximate positions of polarity chron reversals; green horizons are positions of known hyperthermal events. Note that ages given for hyperthermals differ from those estimated, which may reflect inaccurate ages for the hyperthermals or differential sedimentation between chosen polarity chrons.
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6140 data points
*/
Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age rel [ka] (reported age relative to star...)	Age model [ka]	Age rel [ka] (estimated age relative to sta...)	Comment
86-577-9-5,105-106	80.32	73.3	0.00	80.35	0.0	80.35	1.56	-0.50	1100	54140	1570	
86-577-9-5,109-110	80.36	73.3	0.00	80.39	0.0	80.39	1.56	-0.58	1080	54150	1560	
86-577-9-5,114-115	80.41	73.3	0.00	80.44	0.0	80.44	1.52	-0.70	1060	54170	1540	
86-577-9-6,2-3	80.82	73.3	0.00	80.82	0.0	80.82	2.09	-0.79	910	54320	1390	No Void - OG Sample
86-577-9-6,8-9	80.88	73.3	0.00	80.88	0.0	80.88	2.23	-0.87	890	54340	1370	
86-577-9-6,14-15	80.94	73.3	0.00	80.94	0.0	80.94	2.09	-1.00	870	54360	1350	
86-577-9-6,14-15	80.94	73.3	0.00	80.94	0.0	80.94	1.96	-0.97	870	54360	1350	
86-577-9-6,20-21	81.00	73.3	0.00	81.00	0.0	81.00	2.12	-0.80	850	54390	1320	
86-577-9-6,26-27	81.06	73.3	0.00	81.06	0.0	81.06	2.03	-0.72	830	54410	1300	
86-577-9-6,32-33	81.12	73.3	0.00	81.12	0.0	81.12	2.14	-0.84	810	54430	1280	
86-577-9-6,38-39	81.18	73.3	0.00	81.18	0.0	81.18	2.05	-0.73	790	54450	1260	
86-577-9-6,44-45	81.24	73.3	0.00	81.24	0.0	81.24	1.85	-0.86	770	54480	1230	
86-577-9-6,44-45	81.24	73.3	0.00	81.24	0.0	81.24	1.75	-1.12	770	54480	1230	
86-577-9-6,49-50	81.29	73.3	0.00	81.29	0.0	81.29	2.05	-0.92	760	54500	1210	
86-577-9-6,55-56	81.35	73.3	0.00	81.35	0.0	81.35	1.99	-0.75	740	54520	1190	
86-577-9-6,60-61	81.40	73.3	0.00	81.40	0.0	81.40	1.95	-0.68	720	54540	1170	
86-577-9-6,66-67	81.46	73.3	0.00	81.46	0.0	81.46	1.80	-0.81	700	54560	1150	
86-577-9-6,70-71	81.50	73.3	0.00	81.50	0.0	81.50	1.79	-0.77	690	54580	1130	
86-577-9-6,75-76	81.55	73.3	0.00	81.55	0.0	81.55	1.95	-0.65	670	54600	1110	
86-577-9-6,81-82	81.61	73.3	0.00	81.61	0.0	81.61	1.74	-0.71	650	54620	1090	
86-577-9-6,87-88	81.67	73.3	0.00	81.67	0.0	81.67	1.77	-0.74	630	54640	1070	
86-577-9-6,93-94	81.73	73.3	0.00	81.73	0.0	81.73	1.80	-0.75	610	54660	1050	
86-577-9-6,98-99	81.78	73.3	0.00	81.78	0.0	81.78	1.85	-0.66	590	54680	1030	
86-577-9-6,103-104	81.83	73.3	0.00	81.83	0.0	81.83	1.90	-0.59	580	54700	1010	
86-577-9-6,108-109	81.88	73.3	0.00	81.88	0.0	81.88	1.86	-0.43	560	54720	990	
86-577-9-6,112-113	81.92	73.3	0.00	81.92	0.0	81.92	1.85	-0.72	540	54740	970	
86-577-9-6,116-117	81.96	73.3	0.00	81.96	0.0	81.96	2.07	-0.92	520	54750	960	
86-577-9-6,121-122	82.01	73.3	0.00	82.01	0.0	82.01	2.10	-0.94	500	54770	940	
86-577-9-CC	82.05	73.3	-0.23	82.07	0.0	82.07	2.04	-0.84	480	54790	940	
86-577-9-CC	82.11	73.3	-0.23	82.13	0.0	82.13	2.12	-0.88	460	54820	910	
86-577-9-CC	82.19	73.3	-0.23	82.21	0.0	82.21	2.11	-0.91	420	54850	880	Note 0.46 Myr difference in time because of core gap
86-577-10-1,4-5	82.84	82.8	0.00	82.84	1.5	84.34	1.60	-0.35	110	55660	70	
86-577-10-1,10-11	82.90	82.8	0.00	82.90	1.5	84.40	1.40	-0.34	80	55690	40	
86-577-10-1,17-18	82.97	82.8	0.00	82.97	1.5	84.47	1.42	-0.31	50	55710	20	
86-577-10-1,21-22	83.01	82.8	0.00	83.01	1.5	84.51	2.57	-0.90	40	55730	0	PETM, 55.53 Ma
86-577-10-1,21-22	83.01	82.8	0.00	83.01	1.5	84.51	2.54	-0.93	40	55730	0	
86-577-10-1,27-28	83.07	82.8	0.00	83.07	1.5	84.57	1.67	-0.54	10	55750	-20	
86-577-10-1,27-28	83.07	82.8	0.00	83.07	1.5	84.57	1.74	-0.67	10	55750	-20	
86-577-10-1,32-33	83.12	82.8	0.00	83.12	1.5	84.62	2.45	-0.70	-10	55770	-40	
86-577-10-1,32-33	83.12	82.8	0.00	83.12	1.5	84.62	2.43	-0.73	-10	55770	-40	
86-577-10-1,42-43	83.22	82.8	0.00	83.22	1.5	84.72	2.97	-0.81	-50	55810	-80	
86-577-10-1,42-43	83.22	82.8	0.00	83.22	1.5	84.72	2.89	-0.81	-50	55810	-80	
86-577-10-1,46-47	83.26	82.8	0.00	83.26	1.5	84.76	3.21	-0.81	-70	55820	-90	
86-577-10-1,46-47	83.26	82.8	0.00	83.26	1.5	84.76	3.30	-0.90	-70	55820	-90	
86-577-10-1,51-52	83.31	82.8	0.00	83.31	1.5	84.81	3.08	-0.72	-90	55840	-110	
86-577-10-1,51-52	83.31	82.8	0.00	83.31	1.5	84.81	3.11	-0.86	-90	55840	-110	
86-577-10-1,56-57	83.36	82.8	0.00	83.36	1.5	84.86	3.09	-0.80	-110	55860	-130	
86-577-10-1,56-57	83.36	82.8	0.00	83.36	1.5	84.86	2.96	-0.79	-110	55860	-130	
86-577-10-1,62-63	83.42	82.8	0.00	83.42	1.5	84.92	3.00	-0.66	-130	55880	-150	
86-577-10-1,62-63	83.42	82.8	0.00	83.42	1.5	84.92	3.00	-0.84	-130	55880	-150	
86-577-10-1,69-70	83.49	82.8	0.00	83.49	1.5	84.99	2.97	-0.87	-160	55910	-180	
86-577-10-1,69-70	83.49	82.8	0.00	83.49	1.5	84.99	2.97	-0.89	-160	55910	-180	
86-577-10-1,75-76	83.55	82.8	0.00	83.55	1.5	85.05	2.94	-1.11	-190	55930	-200	
86-577-10-1,75-76	83.55	82.8	0.00	83.55	1.5	85.05	3.03	-0.99	-190	55930	-200	
86-577-10-1,81-82	83.61	82.8	0.00	83.61	1.5	85.11	2.99	-0.88	-210	55960	-230	
86-577-10-1,81-82	83.61	82.8	0.00	83.61	1.5	85.11	2.99	-0.93	-210	55960	-230	
86-577-10-1,88-89	83.68	82.8	0.00	83.68	1.5	85.18	3.06	-0.80	-240	55980	-250	
86-577-10-1,88-89	83.68	82.8	0.00	83.68	1.5	85.18	3.20	-1.03	-240	55980	-250	
86-577-10-1,94-95	83.74	82.8	0.00	83.74	1.5	85.24	3.14	-0.81	-270	56010	-280	
86-577-10-1,94-95	83.74	82.8	0.00	83.74	1.5	85.24	3.11	-1.02	-270	56010	-280	
86-577-10-1,100-101	83.80	82.8	0.00	83.80	1.5	85.30	3.31	-0.77	-290	56030	-300	
86-577-10-1,100-101	83.80	82.8	0.00	83.80	1.5	85.30	3.27	-0.77	-290	56030	-300	
86-577-10-1,106-107	83.86	82.8	0.00	83.86	1.5	85.36	3.33	-0.71	-320	56050	-320	
86-577-10-1,106-107	83.86	82.8	0.00	83.86	1.5	85.36	3.31	-0.81	-320	56050	-320	
86-577-10-1,111-112	83.91	82.8	0.00	83.91	1.5	85.41	3.33	-0.71	-340	56070	-340	
86-577-10-1,111-112	83.91	82.8	0.00	83.91	1.5	85.41	3.31	-0.70	-340	56070	-340	
86-577-10-1,117-118	83.97	82.8	0.00	83.97	1.5	85.47	3.23	-0.90	-370	56090	-360	
86-577-10-1,117-118	83.97	82.8	0.00	83.97	1.5	85.47	3.28	-0.82	-370	56090	-360	
86-577-10-1,123-124	84.03	82.8	0.00	84.03	1.5	85.53	3.24	-0.74	-390	56120	-390	
86-577-10-1,123-124	84.03	82.8	0.00	84.03	1.5	85.53	3.19	-0.82	-390	56120	-390	
86-577-10-1,129-130	84.09	82.8	0.00	84.09	1.5	85.59	3.14	-0.77	-420	56140	-410	
86-577-10-1,135-136	84.15	82.8	0.00	84.15	1.5	85.65	3.19	-0.86	-440	56160	-430	
86-577-10-1,142-143	84.22	82.8	0.00	84.22	1.5	85.72	3.07	-0.95	-470	56190	-460	
86-577-10-1,148-149	84.28	82.8	0.00	84.28	1.5	85.78	3.14	-0.83	-500	56210	-480	
86-577-10-2,4-5	84.34	82.8	0.00	84.34	1.5	85.84	3.16	-0.79	-530	56240	-510	
86-577-10-2,10-11	84.40	82.8	0.00	84.40	1.5	85.90	3.03	-0.99	-550	56260	-530	
86-577-10-2,16-17	84.46	82.8	0.00	84.46	1.5	85.96	3.06	-0.90	-580	56280	-550	
86-577-10-2,21-22	84.51	82.8	0.00	84.51	1.5	86.01	3.09	-0.86	-600	56300	-570	
86-577-10-2,26-27	84.56	82.8	0.00	84.56	1.5	86.06	3.22	-0.76	-620	56320	-590	
86-577-10-2,26-27	84.56	82.8	0.00	84.56	1.5	86.06	3.17	-0.84	-620	56320	-590	
86-577-10-2,26-27	84.56	82.8	0.00	84.56	1.5	86.06	3.22	-0.65	-620	56320	-590	
86-577-10-2,32-33	84.62	82.8	0.00	84.62	1.5	86.12	3.23	-0.87	-650	56340	-610	
86-577-10-2,32-33	84.62	82.8	0.00	84.62	1.5	86.12	3.11	-0.88	-650	56340	-610	
86-577-10-2,32-33	84.62	82.8	0.00	84.62	1.5	86.12	3.18	-0.91	-650	56340	-610	
86-577-10-2,37-38	84.67	82.8	0.00	84.67	1.5	86.17	3.34	-0.82	-670	56360	-630	
86-577-10-2,37-38	84.67	82.8	0.00	84.67	1.5	86.17	3.36	-0.86	-670	56360	-630	
86-577-10-2,37-38	84.67	82.8	0.00	84.67	1.5	86.17	3.39	-0.86	-670	56360	-630	
86-577-10-2,43-44	84.73	82.8	0.00	84.73	1.5	86.23	3.12	-0.80	-710	56380	-650	
86-577-10-2,43-44	84.73	82.8	0.00	84.73	1.5	86.23	3.21	-0.89	-710	56380	-650	
86-577-10-2,49-50	84.79	82.8	0.00	84.79	1.5	86.29	3.06	-0.86	-740	56410	-680	
86-577-10-2,49-50	84.79	82.8	0.00	84.79	1.5	86.29	3.00	-0.78	-740	56410	-680	
86-577-10-2,55-56	84.85	82.8	0.00	84.85	1.5	86.35	3.39	-0.79	-770	56430	-700	
86-577-10-2,55-56	84.85	82.8	0.00	84.85	1.5	86.35	3.46	-0.85	-770	56430	-700	
86-577-10-2,55-56	84.85	82.8	0.00	84.85	1.5	86.35	3.45	-1.00	-770	56430	-700	
86-577-10-2,61-62	84.91	82.8	0.00	84.91	1.5	86.41	3.22	-1.00	-780	56450	-720	
86-577-10-2,61-62	84.91	82.8	0.00	84.91	1.5	86.41	3.31	-0.86	-780	56450	-720	
86-577-10-2,61-62	84.91	82.8	0.00	84.91	1.5	86.41	3.36	-0.89	-780	56450	-720	
86-577-10-2,67-68	84.97	82.8	0.00	84.97	1.5	86.47	3.52	-0.81	-790	56480	-750	
86-577-10-2,67-68	84.97	82.8	0.00	84.97	1.5	86.47	3.47	-0.98	-790	56480	-750	
86-577-10-2,67-68	84.97	82.8	0.00	84.97	1.5	86.47	3.51	-0.92	-790	56480	-750	
86-577-10-2,73-74	85.03	82.8	0.00	85.03	1.5	86.53	3.49	-0.88	-800	56500	-770	
86-577-10-2,73-74	85.03	82.8	0.00	85.03	1.5	86.53	3.49	-0.91	-800	56500	-770	
86-577-10-2,80-81	85.10	82.8	0.00	85.10	1.5	86.60	3.56	-0.89	-820	56530	-800	
86-577-10-2,86-87	85.16	82.8	0.00	85.16	1.5	86.66	3.40	-0.89	-830	56550	-820	
86-577-10-2,92-93	85.22	82.8	0.00	85.22	1.5	86.72	3.54	-0.87	-840	56570	-840	
86-577-10-2,98-99	85.28	82.8	0.00	85.28	1.5	86.78	3.59	-0.93	-860	56600	-870	
86-577-10-2,103-104	85.33	82.8	0.00	85.33	1.5	86.83	3.57	-1.06	-870	56610	-880	
86-577-10-2,103-104	85.33	82.8	0.00	85.33	1.5	86.83	3.56	-0.85	-870	56610	-880	
86-577-10-2,103-104	85.33	82.8	0.00	85.33	1.5	86.83	3.57	-0.97	-870	56610	-880	
86-577-10-2,107-108	85.37	82.8	0.00	85.37	1.5	86.87	3.54	-1.05	-870	56630	-900	
86-577-10-2,107-108	85.37	82.8	0.00	85.37	1.5	86.87	3.51	-1.03	-870	56630	-900	
86-577-10-2,113-114	85.43	82.8	0.00	85.43	1.5	86.93	3.54	-1.10	-890	56650	-920	
86-577-10-2,113-114	85.43	82.8	0.00	85.43	1.5	86.93	3.52	-1.05	-890	56650	-920	
86-577-10-2,113-114	85.43	82.8	0.00	85.43	1.5	86.93	3.50	-1.02	-890	56650	-920	Top C25n, 56.66 Ma
86-577-10-2,118-119	85.48	82.8	0.00	85.48	1.5	86.98	3.36	-1.15	-900	56670	-940	
86-577-10-2,118-119	85.48	82.8	0.00	85.48	1.5	86.98	3.47	-1.06	-900	56670	-940	
86-577-10-2,118-119	85.48	82.8	0.00	85.48	1.5	86.98	3.45	-0.96	-900	56670	-940	
86-577-10-2,122-123	85.52	82.8	0.00	85.52	1.5	87.02	3.25	-1.30	-900	56680	-950	
86-577-10-2,122-123	85.52	82.8	0.00	85.52	1.5	87.02	3.40	-0.98	-900	56680	-950	
86-577-10-2,122-123	85.52	82.8	0.00	85.52	1.5	87.02	3.14	-1.25	-900	56680	-950	
86-577-10-2,127-128	85.57	82.8	0.00	85.57	1.5	87.07	3.37	-0.97	-910	56700	-970	
86-577-10-2,127-128	85.57	82.8	0.00	85.57	1.5	87.07	3.40	-1.03	-910	56700	-970	
86-577-10-2,132-133	85.62	82.8	0.00	85.62	1.5	87.12	3.30	-1.02	-920	56710	-980	
86-577-10-2,132-133	85.62	82.8	0.00	85.62	1.5	87.12	3.33	-0.98	-920	56710	-980	
86-577-10-2,137-138	85.67	82.8	0.00	85.67	1.5	87.17	3.42	-0.99	-940	56730		
86-577-10-2,137-138	85.67	82.8	0.00	85.67	1.5	87.17	3.33	-1.04	-940	56730		
86-577-10-2,137-138	85.67	82.8	0.00	85.67	1.5	87.17	3.37	-1.02	-940	56730		
86-577-10-2,142-143	85.72	82.8	0.00	85.72	1.5	87.22	3.34	-1.05	-950	56750	-1020	
86-577-10-2,142-143	85.72	82.8	0.00	85.72	1.5	87.22	3.29	-1.06	-950	56750	-1020	
86-577-10-2,142-143	85.72	82.8	0.00	85.72	1.5	87.22	3.37	-1.05	-950	56750	-1020	
86-577-10-2,148-149	85.78	82.8	0.00	85.78	1.5	87.28	3.35	-1.13	-960	56770	-1040	
86-577-10-2,148-149	85.78	82.8	0.00	85.78	1.5	87.28	3.32	-1.10	-960	56770	-1040	
86-577-10-2,148-149	85.78	82.8	0.00	85.78	1.5	87.28	3.39	-1.06	-960	56770	-1040	
86-577-10-3,5-6	85.85	82.8	0.00	85.85	1.5	87.35	3.43	-1.07	-970	56790	-1060	
86-577-10-3,5-6	85.85	82.8	0.00	85.85	1.5	87.35	3.45	-1.00	-970	56790	-1060	
86-577-10-3,12-13	85.92	82.8	0.00	85.92	1.5	87.42	3.41	-1.09	-990	56810	-1080	
86-577-10-3,12-13	85.92	82.8	0.00	85.92	1.5	87.42	3.38	-1.07	-990	56810	-1080	
86-577-10-3,20-21	86.00	82.8	0.00	86.00	1.5	87.50	3.29	-1.04		56840	-1110	
86-577-10-3,20-21	86.00	82.8	0.00	86.00	1.5	87.50	3.22	-1.07		56840	-1110	
86-577-10-3,20-21	86.00	82.8	0.00	86.00	1.5	87.50	3.23	-1.12		56840	-1110	
86-577-10-3,27-28	86.07	82.8	0.00	86.07	1.5	87.57	3.15	-1.09	-1020	56860	-1130	
86-577-10-3,27-28	86.07	82.8	0.00	86.07	1.5	87.57	3.15	-1.09	-1020	56860	-1130	
86-577-10-3,34-35	86.14	82.8	0.00	86.14	1.5	87.64	3.00	-1.03	-1030	56880	-1150	
86-577-10-3,34-35	86.14	82.8	0.00	86.14	1.5	87.64	2.99	-1.01	-1030	56880	-1150	
86-577-10-3,34-35	86.14	82.8	0.00	86.14	1.5	87.64	2.98	-1.11	-1030	56880	-1150	
86-577-10-3,42-43	86.22	82.8	0.00	86.22	1.5	87.72	3.41	-0.99	-1050	56910	-1180	
86-577-10-3,42-43	86.22	82.8	0.00	86.22	1.5	87.72	3.41	-0.94	-1050	56910	-1180	
86-577-10-3,42-43	86.22	82.8	0.00	86.22	1.5	87.72	3.41	-1.00	-1050	56910	-1180	
86-577-10-3,49-50	86.29	82.8	0.00	86.29	1.5	87.79	3.38	-1.08	-1060	56930	-1200	
86-577-10-3,49-50	86.29	82.8	0.00	86.29	1.5	87.79	3.41	-1.07	-1060	56930	-1200	
86-577-10-3,49-50	86.29	82.8	0.00	86.29	1.5	87.79	3.40	-1.15	-1060	56930	-1200	
86-577-10-3,55-56	86.35	82.8	0.00	86.35	1.5	87.85	3.29	-1.13	-1080	56950	-1220	
86-577-10-3,55-56	86.35	82.8	0.00	86.35	1.5	87.85	3.34	-1.13	-1080	56950	-1220	
86-577-10-3,61-62	86.41	82.8	0.00	86.41	1.5	87.91	3.26	-1.15	-1090	56970	-1240	
86-577-10-3,68-69	86.48	82.8	0.00	86.48	1.5	87.98	3.15	-1.07	-1110	56990	-1260	
86-577-10-3,68-69	86.48	82.8	0.00	86.48	1.5	87.98	3.16	-1.21	-1110	56990	-1260	
86-577-10-3,75-76	86.55	82.8	0.00	86.55	1.5	88.05	3.21	-1.16	-1120	57010	-1280	
86-577-10-3,82-83	86.62	82.8	0.00	86.62	1.5	88.12	3.41	-1.15	-1140	57030	-1300	
86-577-10-3,88-89	86.68	82.8	0.00	86.68	1.5	88.18	3.66	-1.12	-1160	57050	-1320	
86-577-10-3,95-96	86.75	82.8	0.00	86.75	1.5	88.25	3.75	-1.03	-1170	57080	-1350	
86-577-10-3,102-103	86.82	82.8	0.00	86.82	1.5	88.32	3.68	-1.10	-1190	57100	-1370	
86-577-10-3,108-109	86.88	82.8	0.00	86.88	1.5	88.38	3.65	-1.01	-1210	57120	-1390	
86-577-10-3,113-114	86.93	82.8	0.00	86.93	1.5	88.43	3.64	-1.11	-1220	57130	-1400	
86-577-10-3,119-120	86.99	82.8	0.00	86.99	1.5	88.49	3.66	-1.05	-1240	57150	-1420	
86-577-10-3,125-126	87.05	82.8	0.00	87.05	1.5	88.55	3.61	-1.13	-1250	57170	-1440	
86-577-10-3,133-134	87.13	82.8	0.00	87.13	1.5	88.63	3.48	-1.16	-1270	57200	-1470	
86-577-10-3,141-142	87.21	82.8	0.00	87.21	1.5	88.71	3.45	-1.14	-1290	57220	-1490	
86-577-10-3,147-148	87.27	82.8	0.00	87.27	1.5	88.77	3.57	-1.18	-1310	57240	-1510	
86-577-10-4,4-5	87.34	82.8	0.00	87.34	1.5	88.84	3.61	-1.18	-1330	57260	-1530	
86-577-10-4,9-10	87.39	82.8	0.00	87.39	1.5	88.89	3.54	-1.30	-1340	57280	-1550	
86-577-10-4,16-17	87.46	82.8	0.00	87.46	1.5	88.96	3.62	-1.13	-1360	57300	-1570	
86-577-10-4,24-25	87.54	82.8	0.00	87.54	1.5	89.04	3.42	-1.12	-1380	57330	-1600	
86-577-10-4,33-34	87.63	82.8	0.00	87.63	1.5	89.13	3.41	-1.17	-1400	57360	-1630	
86-577-10-4,42-43	87.72	82.8	0.00	87.72	1.5	89.22	3.45	-1.23	-1420	57390	-1660	
86-577-10-4,50-51	87.80	82.8	0.00	87.80	1.5	89.30	3.53	-1.22	-1440	57410	-1680	
86-577-10-4,55-56	87.85	82.8	0.00	87.85	1.5	89.35	3.51	-1.20	-1460	57430	-1700	
86-577-10-4,62-63	87.92	82.8	0.00	87.92	1.5	89.42	3.47	-1.17	-1470	57450	-1720	
86-577-10-4,68-69	87.98	82.8	0.00	87.98	1.5	89.48	3.65	-0.93	-1490	57470	-1740	
